name;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;uri;track_href;analysis_url;duration_ms;time_signature
Change the World;0.721;0.558;9;-8.8;1;0.0246;0.492;0.00563;0.113;0.542;96.887;audio_features;6BQNJ0JFKh8sWjQLI6Zudi;spotify:track:6BQNJ0JFKh8sWjQLI6Zudi;https://api.spotify.com/v1/tracks/6BQNJ0JFKh8sWjQLI6Zudi;https://api.spotify.com/v1/audio-analysis/6BQNJ0JFKh8sWjQLI6Zudi;234867;4
Happy Now;0.693;0.575;9;-6.998;1;0.0801;0.374;0.0;0.252;0.492;117.999;audio_features;14sOS5L36385FJ3OL8hew4;spotify:track:14sOS5L36385FJ3OL8hew4;https://api.spotify.com/v1/tracks/14sOS5L36385FJ3OL8hew4;https://api.spotify.com/v1/audio-analysis/14sOS5L36385FJ3OL8hew4;211362;4
Cheat Codes for Hoes;0.715;0.55;10;-10.293;0;0.425;0.651;0.000292;0.172;0.824;116.669;audio_features;10iTEeb8hoM5jBGh0OxBOO;spotify:track:10iTEeb8hoM5jBGh0OxBOO;https://api.spotify.com/v1/tracks/10iTEeb8hoM5jBGh0OxBOO;https://api.spotify.com/v1/audio-analysis/10iTEeb8hoM5jBGh0OxBOO;141663;4
i hate u, i love u (feat. olivia o'brien);0.492;0.275;6;-13.4;0;0.3;0.687;0.0;0.101;0.18;92.6;audio_features;7vRriwrloYVaoAe3a9wJHe;spotify:track:7vRriwrloYVaoAe3a9wJHe;https://api.spotify.com/v1/tracks/7vRriwrloYVaoAe3a9wJHe;https://api.spotify.com/v1/audio-analysis/7vRriwrloYVaoAe3a9wJHe;251034;4
Canção Pro Tempo;0.78;0.688;5;-3.615;1;0.075;0.032;0.0;0.0945;0.858;77.026;audio_features;6tyNDqpsKlyiQvZmUTHVFO;spotify:track:6tyNDqpsKlyiQvZmUTHVFO;https://api.spotify.com/v1/tracks/6tyNDqpsKlyiQvZmUTHVFO;https://api.spotify.com/v1/audio-analysis/6tyNDqpsKlyiQvZmUTHVFO;230840;4
Mama;0.72;0.793;0;-6.501;1;0.0526;0.572;3,00E-05;0.0608;0.973;171.942;audio_features;0ZIof6h8kl4LCZFy6VN5Kt;spotify:track:0ZIof6h8kl4LCZFy6VN5Kt;https://api.spotify.com/v1/tracks/0ZIof6h8kl4LCZFy6VN5Kt;https://api.spotify.com/v1/audio-analysis/0ZIof6h8kl4LCZFy6VN5Kt;158433;4
Knockout;0.533;0.944;7;-3.699;1;0.0917;0.000834;0.0;0.208;0.448;138.009;audio_features;1uAw6LlmN91Xmev3jZbJ8z;spotify:track:1uAw6LlmN91Xmev3jZbJ8z;https://api.spotify.com/v1/tracks/1uAw6LlmN91Xmev3jZbJ8z;https://api.spotify.com/v1/audio-analysis/1uAw6LlmN91Xmev3jZbJ8z;209053;4
Imaturo;0.572;0.415;0;-7.934;1;0.0973;0.625;0.0;0.631;0.677;129.889;audio_features;0S86atec73KKaexn67JsDy;spotify:track:0S86atec73KKaexn67JsDy;https://api.spotify.com/v1/tracks/0S86atec73KKaexn67JsDy;https://api.spotify.com/v1/audio-analysis/0S86atec73KKaexn67JsDy;178187;4
STUPID (feat. Yung Baby Tate);0.772;0.637;2;-6.881;1;0.114;0.00459;0.0;0.0778;0.54;149.906;audio_features;6qNB2ChCVPepl5ZjVJJTUW;spotify:track:6qNB2ChCVPepl5ZjVJJTUW;https://api.spotify.com/v1/tracks/6qNB2ChCVPepl5ZjVJJTUW;https://api.spotify.com/v1/audio-analysis/6qNB2ChCVPepl5ZjVJJTUW;167317;4
Level Up;0.746;0.825;1;-4.666;1;0.169;0.0142;0.0107;0.121;0.584;152.914;audio_features;7ssEhls1ZYEGtBsoovkMSe;spotify:track:7ssEhls1ZYEGtBsoovkMSe;https://api.spotify.com/v1/tracks/7ssEhls1ZYEGtBsoovkMSe;https://api.spotify.com/v1/audio-analysis/7ssEhls1ZYEGtBsoovkMSe;204150;4
