name;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;uri;track_href;analysis_url;duration_ms;time_signature
'Til I'm Done;0.687;0.675;9;-4.345;0;0.0331;0.00672;1.35e-05;0.0906;0.571;119.945;audio_features;76XiuZocJ1LzuLfzt2KEUg;spotify:track:76XiuZocJ1LzuLfzt2KEUg;https://api.spotify.com/v1/tracks/76XiuZocJ1LzuLfzt2KEUg;https://api.spotify.com/v1/audio-analysis/76XiuZocJ1LzuLfzt2KEUg;224693;4
Loka;0.646;0.835;0;-4.004;1;0.208;0.0484;0.0;0.11;0.691;179.982;audio_features;4rMTRPQcWIcZAlKR8bygRY;spotify:track:4rMTRPQcWIcZAlKR8bygRY;https://api.spotify.com/v1/tracks/4rMTRPQcWIcZAlKR8bygRY;https://api.spotify.com/v1/audio-analysis/4rMTRPQcWIcZAlKR8bygRY;215170;4
Be My Baby;0.511;0.769;4;-7.032;1;0.042;0.181;0.0;0.0921;0.818;129.657;audio_features;2G2YzndIA6jeWFPBXhUjh5;spotify:track:2G2YzndIA6jeWFPBXhUjh5;https://api.spotify.com/v1/tracks/2G2YzndIA6jeWFPBXhUjh5;https://api.spotify.com/v1/audio-analysis/2G2YzndIA6jeWFPBXhUjh5;160907;4
Hurts Like Hell (feat. Offset);0.704;0.56;1;-6.791;0;0.179;0.185;0.0;0.0948;0.609;75.003;audio_features;3WefHNGtjexZvi66ZEx9u4;spotify:track:3WefHNGtjexZvi66ZEx9u4;https://api.spotify.com/v1/tracks/3WefHNGtjexZvi66ZEx9u4;https://api.spotify.com/v1/audio-analysis/3WefHNGtjexZvi66ZEx9u4;207109;4
Shameless;0.377;0.651;4;-5.437;0;0.0588;0.0197;5.31e-05;0.174;0.0851;129.698;audio_features;3UYiU57SMiAS5LqolhHJw1;spotify:track:3UYiU57SMiAS5LqolhHJw1;https://api.spotify.com/v1/tracks/3UYiU57SMiAS5LqolhHJw1;https://api.spotify.com/v1/audio-analysis/3UYiU57SMiAS5LqolhHJw1;219742;4
Do You Mind (feat. Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross);0.412;0.548;10;-6.981;1;0.243;0.0173;0.0;0.181;0.176;81.293;audio_features;6ezg5Mm5UEEi3Oqsbb7Cjn;spotify:track:6ezg5Mm5UEEi3Oqsbb7Cjn;https://api.spotify.com/v1/tracks/6ezg5Mm5UEEi3Oqsbb7Cjn;https://api.spotify.com/v1/audio-analysis/6ezg5Mm5UEEi3Oqsbb7Cjn;325615;4
Desarrumar - Ao Vivo;0.694;0.867;4;-5.603;1;0.0793;0.531;0.0;0.189;0.642;169.996;audio_features;6kLC6dq44QyIlHGdVM6Lb7;spotify:track:6kLC6dq44QyIlHGdVM6Lb7;https://api.spotify.com/v1/tracks/6kLC6dq44QyIlHGdVM6Lb7;https://api.spotify.com/v1/audio-analysis/6kLC6dq44QyIlHGdVM6Lb7;210973;4
Bailar (feat. Elvis Crespo) - Radio Edit;0.799;0.738;9;-9.043;1;0.118;0.0485;0.34;0.0603;0.397;128.051;audio_features;45sGyAtAxD6efaN0bJAFgh;spotify:track:45sGyAtAxD6efaN0bJAFgh;https://api.spotify.com/v1/tracks/45sGyAtAxD6efaN0bJAFgh;https://api.spotify.com/v1/audio-analysis/45sGyAtAxD6efaN0bJAFgh;137661;4
Young, Wild & Free (feat. Bruno Mars);0.715;0.655;0;-6.425;1;0.137;0.0525;0.0;0.115;0.531;95.078;audio_features;5HQVUIKwCEXpe7JIHyY734;spotify:track:5HQVUIKwCEXpe7JIHyY734;https://api.spotify.com/v1/tracks/5HQVUIKwCEXpe7JIHyY734;https://api.spotify.com/v1/audio-analysis/5HQVUIKwCEXpe7JIHyY734;207333;4
Loca (feat. El Cata);0.8;0.692;9;-5.57;0;0.0614;0.342;1.92e-06;0.0554;0.917;112.002;audio_features;42k1KeBehAd83lrGt1okiC;spotify:track:42k1KeBehAd83lrGt1okiC;https://api.spotify.com/v1/tracks/42k1KeBehAd83lrGt1okiC;https://api.spotify.com/v1/audio-analysis/42k1KeBehAd83lrGt1okiC;183693;4
